src_lang,tgt_lang,item_id,item_type,system,src,ref,mt,user_id,raw_score,z_score
es,eu,100,TGT,nllb,"Debido a la propiedad privada de la tierra y a los altos precios del terreno, todos los países en desarrollo tienen un gran problema de barrios pobres.","Lurraren pribatutasunagatik eta prezio altuagatik, garapen bidean dauden herrailde guztiek arazo handi bat dute auzo txiroetan.","Lurraren pribatutasunagatik eta prezio altuagatik, garapen bidean dauden herrialdeek auzo txiroetan arazo handiak dituzte.",c96634ae11,75,0.6634269994535931
es,eu,100,TGT,upv-cmbt,"Debido a la propiedad privada de la tierra y a los altos precios del terreno, todos los países en desarrollo tienen un gran problema de barrios pobres.","Lurraren pribatutasunagatik eta prezio altuagatik, garapen bidean dauden herrailde guztiek arazo handi bat dute auzo txiroetan.","Lurraren jabetza pribatua eta lurraren prezio altuak direla eta, garapen bidean dauden herrialde guztiek auzo pobreen arazo handia dute.",406fc9b5c8,85,0.22664456284620677
es,eu,100,TGT,itzuli,"Debido a la propiedad privada de la tierra y a los altos precios del terreno, todos los países en desarrollo tienen un gran problema de barrios pobres.","Lurraren pribatutasunagatik eta prezio altuagatik, garapen bidean dauden herrailde guztiek arazo handi bat dute auzo txiroetan.","Lurraren jabetza pribatua eta lurraren prezio altuak direla eta, garapen bidean dauden herrialde guztiek auzo pobreen arazo handi bat dute.",ee5457356e,90,0.7240306954036468
es,eu,102,TGT,itzuli,"El gobierno local advierte a quienes residen en las cercanías de la planta que no salgan de sus hogares, mantengan apagados los aires acondicionados y no consuman agua del grifo.","Tokiko agintariek etxe barruan egoteko, aire girotua itzaltzeko eta iturriko ura ez edateko eskatu die inguruko biztanleei.","Tokiko gobernuak etxetik ez ateratzeko, aire girotua itzalita mantentzeko eta iturriko urik ez kontsumitzeko ohartarazi die lantegitik gertu bizi direnei.",04f6cb5885,100,1.2828582885888202
es,eu,102,TGT,upv-cmbt,"El gobierno local advierte a quienes residen en las cercanías de la planta que no salgan de sus hogares, mantengan apagados los aires acondicionados y no consuman agua del grifo.","Tokiko agintariek etxe barruan egoteko, aire girotua itzaltzeko eta iturriko ura ez edateko eskatu die inguruko biztanleei.","Etxeetatik irten, aire egokituak itzali eta iturriko urik ez kontsumitzeko ohartarazi die tokiko gobernuak plantaren inguruan bizi direnei.",803bc891f0,88,0.7010929123719579
es,eu,102,TGT,itzuli,"El gobierno local advierte a quienes residen en las cercanías de la planta que no salgan de sus hogares, mantengan apagados los aires acondicionados y no consuman agua del grifo.","Tokiko agintariek etxe barruan egoteko, aire girotua itzaltzeko eta iturriko ura ez edateko eskatu die inguruko biztanleei.","Tokiko gobernuak etxetik ez ateratzeko, aire girotua itzalita mantentzeko eta iturriko urik ez kontsumitzeko ohartarazi die lantegitik gertu bizi direnei.",21c61bf505,98,0.5616558107914393
es,eu,104,TGT,itzuli,Nos reuniremos todos frente al ayuntamiento a las tres en punto y saldremos de procesión por el pueblo y por el campo hacia la playa bajo las piedras por la ruta que se ha convertido en sagrada según nuestro rito.,"Udaletxearen aurrean bilduko gara 3retan. Eta, gero, prozesioan joango gara herrian eta landan barrena hondartzara, harrien azpira gure errituaren arabera sakratua den bidetik.","Hiruretan elkartuko gara udaletxearen aurrean, eta prozesioan aterako gara herritik eta zelaitik hondartzara, harrien azpitik, gure erritoaren arabera sakratu bihurtu den bidetik.",9642b8c66d,96,0.4236444690508839
es,eu,105,TGT,itzuli,"O si acaba de salir de la cárcel donde fue por homicidio por atropello sin premeditación un trato para evitar ser culpado de algo más grave del que, en efecto, era responsable.","Edo demagun kartzelatik irten berri zarela, zeinera kotxearekin norbait hiltzeagatik sartu zinen, hau afera larriagoekin lotutako delitua sahiesteko tratu baten baitan egonda. Hilketa, zeinaren erantzule zaren.","Edo kartzelatik irten berria bada, hilketagatik nahita harrapatzeagatik, tratu bat, erruduna zen zerbait larriagoaz errudun ez izateko.",e294fd8257,18,-1.1139392828896952
es,eu,107,TGT,upv-cmbt,"Si bien casi todos los monasterios entregan abrigos a las mujeres que llegan sin estar preparadas, si usted lleva el suyo, sobre todo si tiene colores brillantes, el monje o la monja le sonreirán en la entrada.","Monasterio gehienek zapiak ematen dizkiete prest etorri ez diren emakumeentzat, baina zeurea eramaten baduzu, batez ere kolore biziak baditu, sarrerako monjeak edo mojak irribarre egingo dizu.","Monasterio ia guztiek prest egon gabe iristen diren emakumeei berokiak ematen badizkiete ere, zurea eramaten baduzu, batez ere kolore distiratsuak baditu, monjeak edo mojak irribarre egingo dizute sarreran.",406fc9b5c8,100,0.7914281912290925
es,eu,107,TGT,itzuli,"Si bien casi todos los monasterios entregan abrigos a las mujeres que llegan sin estar preparadas, si usted lleva el suyo, sobre todo si tiene colores brillantes, el monje o la monja le sonreirán en la entrada.","Monasterio gehienek zapiak ematen dizkiete prest etorri ez diren emakumeentzat, baina zeurea eramaten baduzu, batez ere kolore biziak baditu, sarrerako monjeak edo mojak irribarre egingo dizu.","Ia monasterio guztiek berokiak ematen badizkiete ere prestatu gabe iristen diren emakumeei, zurea baldin badaukazu, batez ere kolore distiratsuak badituzu, monjeak edo mojak irribarre egingo dizute sarreran.",ba067c21d9,45,-0.11759469721530257
